appid,name,median_playtime
11280,Penguins Arena: Sedna's World,97
11330,Obulis,69
11340,Larva Mortus,108
11360,Chains,36
11450,Overlord™,304
11590,Hospital Tycoon,176
12100,Grand Theft Auto III,63
12110,Grand Theft Auto: Vice City,93
12120,Grand Theft Auto: San Andreas,249
12130,Manhunt,101
12140,Max Payne,316
12150,Max Payne 2: The Fall of Max Payne,175
12170,Grand Theft Auto,7
12180,Grand Theft Auto 2,4
12200,Bully: Scholarship Edition,225
12210,Grand Theft Auto IV,634
12220,Grand Theft Auto: Episodes from Liberty City,112
12320,Sacred Gold,404
12360,FlatOut: Ultimate Carnage,71
12430,SlamIt Pinball Big Score,2
12470,Port Royale 2,203
12500,PuzzleQuest: Challenge of the Warlords,52
12710,Overlord™: Raising Hell,256
12770,Rise of the Argonauts,147
12810,Overlord II,119
12830,Operation Flashpoint: Dragon Rising,417
13000,Ninja Reflex: Steamworks Edition,121
13140,America's Army 3,13
13200,Unreal 2: The Awakening,682
13210,Unreal Tournament 3 Black,239
13230,Unreal Tournament 2004: Editor's Choice Edition,496
13240,Unreal Tournament: Game of the Year Edition,924
13250,Unreal Gold,41
13500,Prince of Persia: Warrior Within™,312
13520,Far Cry®,229
13530,Prince of Persia: The Two Thrones™,205
13560,Tom Clancy's Splinter Cell®,28
13570,Tom Clancy's Splinter Cell Chaos Theory®,22
13600,Prince of Persia®: The Sands of Time,167
13620,Tom Clancy's Ghost Recon® Desert Siege™,2
15000,Tom Clancy's Rainbow Six Lockdown™,20
15080,Rayman Raving Rabbids™,29
15100,Assassin's Creed™: Director's Cut Edition,476
15120,Tom Clancy's Rainbow Six® Vegas 2,1936
15130,Beyond Good and Evil™,448
15170,Heroes of Might & Magic V,396
15190,Brothers in Arms: Road to Hill 30™,69
15200,Silent Hunter®: Wolves of the Pacific,134
15300,Tom Clancy's Ghost Recon®,476
15320,IL-2 Sturmovik: 1946,1812
15370,Heroes of Might & Magic V: Tribes of the East,6679
15380,Heroes of Might & Magic V: Hammers of Fate,19
15390,Brothers in Arms: Hell's Highway™,346
15520,AaAaAA!!! - A Reckless Disregard for Gravity,151
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,136
15620,"Warhammer 40,000: Dawn of War II",293
15700,Oddworld: Abe's Oddysee®,217
15710,Oddworld: Abe's Exoddus®,67
15740,Oddworld: Munch's Oddysee,3
15750,Oddworld: Stranger's Wrath HD,98
15930,Luxor 3,102
16450,F.E.A.R. 2: Project Origin,367
16600,Trials 2: Second Edition,382
16710,Insecticide Part 1,265
16720,Velvet Assassin,10
16730,Legendary,90
16810,Sid Meier's Civilization IV: Colonization,1
17080,Tribes: Ascend,75
17300,Crysis,105
17330,Crysis Warhead®,29
17390,SPORE™,764
17410,Mirror's Edge™,172
17430,Need for Speed Undercover,1046
17440,SPORE™ Creepy & Cute Parts Pack,240
17450,Dragon Age: Origins,2889
17460,Mass Effect,633
17470,Dead Space,178
17480,Command & Conquer: Red Alert 3,395
17500,Zombie Panic! Source,86
17570,"Pirates, Vikings, and Knights II",197
17710,Nuclear Dawn,1184
17740,Empires Mod,1378
18000,"Precipice of Darkness, Episode One",7
18040,DeathSpank,1008
18070,The Baconing,14
18120,Unstoppable Gorg,37
18300,Spectraball,126
18400,Crazy Machines 2,66
18480,Mata Hari,1
18500,Defense Grid: The Awakening,686
18700,And Yet It Moves,22
18820,Zero Gear,373
19000,Silent Hill Homecoming,73
19200,Tank Universal,63
19500,Eternity's Child,9
19800,Brothers in Arms: Earned in Blood™,164
19830,Tom Clancy's Rainbow Six® 3 Gold,61
19900,Far Cry® 2: Fortune's Edition,229
19980,Prince of Persia®,399
20510,S.T.A.L.K.E.R.: Clear Sky,779
20530,Red Faction,107
20540,Company of Heroes: Tales of Valor,133
20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising",249
20700,Starscape,12
20710,Mr. Robot,14
20820,Shatter,51
20900,The Witcher: Enhanced Edition Director's Cut,335
20920,The Witcher 2: Assassins of Kings Enhanced Edition,320
21000,LEGO® Batman™: The Videogame,716
21090,F.E.A.R.,498
21100,F.E.A.R. 3,298
21130,LEGO® Harry Potter: Years 1-4,989
21670,Bionic Commando,30
21680,Bionic Commando: Rearmed,16
21690,Resident Evil™ 5/ Biohazard 5®,532
21800,Tom Clancy's EndWar™,655
21980,Call of Juarez®: Bound in Blood,13
22000,World of Goo,277
22100,Mount & Blade,597
22120,Penumbra: Black Plague Gold Edition,189
22180,Penumbra Overture,43
22200,Zeno Clash,307
22230,Rock of Ages,231
22300,Fallout 3,617
22310,Rogue Warrior,29
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,1183
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,630
22350,BRINK,99
22370,Fallout 3: Game of the Year Edition,1076
22380,Fallout: New Vegas,1431
22450,Hunted: The Demon’s Forge™,28
22600,Worms Reloaded,420
22610,Alien Breed: Impact,7
22650,Alien Breed 2: Assault,96
22670,Alien Breed 3: Descent,1
23380,Gyromancer,73
23400,Imperium Romanum Gold Edition,102
23420,Europa Universalis: Rome - Gold Edition ,4975
23450,Grand Ages: Rome,319
23490,Tropico 3,425
23530,Earth Defense Force: Insect Armageddon,380
23700,Puzzle Kingdoms,175
24010,Train Simulator 2019,385
24200,DC Universe™ Online,3851
24240,PAYDAY™ The Heist,248
24400,King Arthur - The Role-playing Wargame,6
24420,Aquaria,64
24460,King Arthur: Fallen Champions,13
24480,King Arthur II: The Role-Playing Wargame,46
24670,Trainz™ Simulator 12,31
24720,SPORE™ Galactic Adventures,2286
24740,Burnout Paradise: The Ultimate Box,576
24780,SimCity™ 4 Deluxe Edition,289
24790,Command & Conquer 3: Tiberium Wars,693
24800,Command & Conquer: Red Alert 3 - Uprising,205
24840,Medal of Honor: Airborne,28
24870,Need for Speed: Shift,456
24960,Battlefield: Bad Company™ 2,671
24980,Mass Effect 2,736
25000,Overgrowth,1365
25010,Lugaru HD,13
25700,Madballs in Babo:Invasion ,54
25800,Europa Universalis III Complete,1065
25830,Knights of Honor,35
25850,Elven Legacy,27
25890,Hearts of Iron III,1364
25900,King's Bounty: The Legend,368
25910,Supreme Ruler 2020 Gold,400
25990,Majesty Gold HD,72
26000,The Maw,14
26800,Braid,251
26900,Crayon Physics Deluxe,26
27000,The Path,64
27330,Blacklight: Tango Down,193
27400,Dangerous High School Girls in Trouble!™,105
27810,Gridrunner Revolution,9
27920,Booster Trooper,10
27940,Dead Horde,82
28000,Kane & Lynch 2: Dog Days,301
29160,Blueberry Garden,9
29180,Osmos,27
29800,Caster,160
31270,Puzzle Agent,110
32200,Metal Drift,173
32310,Indiana Jones® and the Last Crusade™,194
32340,LOOM™,28
32350,STAR WARS™ Starfighter™,8
32360,The Secret of Monkey Island: Special Edition,94
32370,STAR WARS™ - Knights of the Old Republic™,400
32380,STAR WARS™ Jedi Knight: Dark Forces II,221
32390,STAR WARS™ Jedi Knight - Mysteries of the Sith™,30
32400,STAR WARS™ - Dark Forces,101
32420,STAR WARS™: The Clone Wars - Republic Heroes™,2
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,175
32440,LEGO® Star Wars™ - The Complete Saga,266
32470,STAR WARS™ Empire at War - Gold Pack,219
32500,STAR WARS™: The Force Unleashed™ II,365
32510,LEGO® Star Wars™ III - The Clone Wars™,294
33120,Alien Shooter 2: Reloaded,169
33130,Zombie Shooter,137
33180,Zombie Shooter 2,247
33230,Assassin's Creed 2 Deluxe Edition,1323
33320,Prince of Persia: The Forgotten Sands™,328
33460,From Dust,399
33570,Patrician III,149
33600,Broken Sword 2 - the Smoking Mirror: Remastered,1428
33610,Broken Sword 3 - the Sleeping Dragon,9
33670,Disciples III - Renaissance Steam Special Edition,2486
33680,eversion,466
33900,Arma 2,1263
33930,Arma 2: Operation Arrowhead,1120
34010,Alpha Protocol™,214
34030,Total War: NAPOLEON – Definitive Edition,1534
34190,Sonic & SEGA All-Stars Racing,859
34410,Death to Spies: Moment of Truth,2
34600,Order of War™,589
34820,Combat Wings: Battle of Britain,25
34830,Sniper: Ghost Warrior,123
34870,Sniper: Ghost Warrior 2,228
